subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
English,2006,which of the following statement is true according to the passage?,Rural work opportunities could reduce urban unemployment,"Providing work opportunities in the rural areas will lead to low productivity, illiteracy and poverty",Urban workplaces are responsible for rural poverty and misery,Urban workplaces absorb rural/urban migrants,A
English,2006,"In the first sentence of the passage, the word work , used differently can be explained as",employment and insure,industrial and earn,career and prepare,job and struggle,D
English,2006,The writer describes the features of a 'cottage industry' as,"affordable energy source, availability of manpower, cheap products and easy marketing of products","availability of capital, high productivity, low capital demand and simplicity of operations","remedying urban migration , available employment, simplicity of operations and affordable products","rural location, simplicity, local sourcing of raw materials and affordability of product",D
English,2006,the expression mutual poisoning as used in the passage suggest that,rural and urban areas complement each other,migration can make urban and rural people sick,rural people violates urban hygiene,migration negates effective urban and rural life,D
English,2006,the expression As capital is the product of human work seems to support the argument that,rural dwellers who move to urban cities often overcome poverty,urban areas will continue to experience overcrowding as long as workplaces are concentrated there,urban productivity is affected by mass migration from the rural areas,rural people are poor because they lack work opportunities to fight back poverty,A
English,2006,In question number 16 choose the best option from the letters A-D that best completes the gap,a descrepancy,discord,a similarity,concord,A
English,2006,In question number 17 choose the best option from the letters A-D that best completes the gap,throughout,by,as to,as from,B
English,2006,In question number 18 choose the best option from the letters A-D that best completes the gap,difficulty,confusion,system,code,C
English,2006,In question number 19 choose the best option from the letters A-D that best completes the gap,middle-class,educated,less enlightened,uneducated,D
English,2006,In question number 20 choose the best option from the letters A-D that best completes the gap,literary,romantic,written,coded,A
English,2006,In question number 21 choose the best option from the letters A-D that best completes the gap,newscasters,scribes,orators,interpreters,C
English,2006,In question number 22 choose the best option from the letters A-D that best completes the gap,habits,attitudes,idiosyncrasies,mannerism,D
English,2006,In question number 23 choose the best option from the letters A-D that best completes the gap,inserted,interjected,interpolated,juxtaposed,A
English,2006,In question number 24 choose the best option from the letters A-D that best completes the gap,antecedent,opposing,corresponding,synonymous,C
English,2006,In question number 25 choose the best option from the letters A-D that best completes the gap,diction,morphology,orthography,pronounciation,D
English,1997,Select the option that best explains the information conveyed in the sentence. The stadium had a capacity crowd in spite of the weather?,The weather favoured the crowd at the stadium,The crowd defied the weather to fill the stadium,The stadium was not filled because of the weather,The crowd loved the weather at the stadium,B
English,1997,Select the option that best explains the information conveyed in the sentence. The conference is biennial?,The conference is held twice every year,The conference is held twice in two years,The conference is held once every other year,The conference lasts for two years,C
English,1997,Select the option that best explains the information conveyed in the sentence. Only two ministers survived the recent cabinet reshuffle?,"In the recent changes in government, only two ministers were sacked","In the recent changes in government, all but two ministers remained alive","In recent changes in government, all but two ministers retained their posts","In recent changes in government, all but two ministers were sacked",D
